Id,Name,Discription,Region,City,Address,Image,Location,"
Cuisine"
1,Barbeque Nation,"Special Deals and Offers in Barbeque Nation, Kalyani Nagar, Pune",Maharashtre,Pune,"Kalyani Nagar, Pune",,https://goo.gl/maps/6BGcVsKfFNCHQrkf6,Indian
2,Connaught Clubhouse,,Delhi,Delhi,"Janpath, Connaught Place (CP), Central Delhi",,https://goo.gl/maps/bSNTtsdL7Tk69ZQ38,Indian
3,TTF - The Tenth Floor,,Maharashtre,Pune,"Unit Of Atithya Dining LLP, 901,902, Deron Height, 10th Floor, Baner Road Baner Near Ranka Jewellers West Pune 411045",,https://goo.gl/maps/FeAPtMF5FkDQRq3j6,Indian
